21A,22A,22B,23A,23B,ra_obj,dec_obj
,,,,C202308130005447m013407,1.4361947013035663,-1.5685194282340404
,,C202209140005517m001536,,,1.4654906381751958,-0.2599327745725793
,,,,A202308250005526m005207,1.4691228405947017,-0.8685207305334645
,,T202209140005535m003842,,,1.4730468775097243,-0.6450309813326389
,,C202209140005543m010920,,,1.476340581994496,-1.1556885897973712
,,C202210020005547m002404,,,1.4781236399826572,-0.4011736205108396
,,,,C202308040005556m014640,1.4815613124316889,-1.7777625678678184
,,,,C202308030005562m002141,1.4842585901057874,-0.36145191577266816
,,C202209090005571m010715,,C202308040005570m010715,1.4877278901513042,-1.1209336186458088
,,A202210110005571m012704,,,1.4880653454408497,-1.4512480707183513
,,T202209140005581m014242,,,1.4922902469467902,-1.7115282888927583
,,,,C202308040005586m000029,1.4942763352256418,-0.00792456687013422
,,T202210060005591m004403,,,1.4964221434368243,-0.7342019600946808
,,C202209140005596m001838,,C202308030005596m001838,1.4983650937897672,-0.3105487192018615
,,A202209140005599m015443,,,1.4997132451547397,-1.911834407115569
,,C202210110006030m001906,,,1.5123989953337642,-0.3182706471840045
,,A202209140006042m010257,,A202308040006042m010257,1.5175877476831592,-1.0490810862111506
,,T202210110006042m002948,,T202308030006042m002948,1.5176184435976838,-0.4966504651291884
,,,,A202308130006044m003242,1.5183717991957275,-0.5451229738408513
,,C202210110006048m013303,,,1.5198020662712173,-1.5508594290353552
,,A202209140006060m004228,,A202308040006060m004228,1.5248764333459723,-0.7076763105070094
,,C202210200006073m015322,,,1.5304570893210985,-1.8893425298302904
,,C202210110006088m005207,,,1.5364671264635374,-0.868703279284105
,,C202209140006088m000003,,C202308030006088m000002,1.5367417238037333,-0.00069421856894366
,,C202209140006112m001224,,,1.5466466764735298,-0.20659464270931752
,,,,C202308250006114m012451,1.547337006584136,-1.4142635289824874
,,C202210060006126m013109,,C202308030006126m013109,1.552593356734121,-1.51903188998184
,,C202209140006130m000130,,C202309090006130m000131,1.5542296670318403,-0.025151499343913215
,,,,C202308250006136m002319,1.5567903256065696,-0.3886289857454498
,,T202209140006137m000219,,,1.5572170269886647,-0.03852242676783987
,,C202210290006175m004055,,,1.5728921949082144,-0.6819358428957879
,,,,C202308020006176m004055,1.5732067377147323,-0.6819667507323144
,,,,T202308040006181m003256,1.5753577926783515,-0.5489448712852388
,,T202209140006192m011832,,,1.5801687933925,-1.3087679009416662
,,T202210060006195m003412,,C202308030006195m003412,1.5811751300149792,-0.5699136201193651
,,A202209140006200m014133,,A202308030006200m014133,1.5831989899160233,-1.692626831605284
,,T202209090006200m005136,,,1.5832325401043823,-0.8598722229289575
,,,,C202308040006208m004956,1.58648020522564,-0.832291929924206
